,bclim1,bclim10,bclim11,bclim12,bclim13,bclim14,bclim15,bclim16,bclim17,bclim18,bclim19,bclim2,bclim3,bclim4,bclim5,bclim6,bclim7,bclim8,bclim9
bclim1,1,0.9354696,0.8560745,0.6513912,0.5890234,0.3688925,0.2142257,0.587251,0.3326084,0.1206207,0.5942115,0.1285826,0.2513065,0.493639,0.8907009,0.621243,0.4374903,0.8100096,0.5645915
bclim10,0.9354696,1,0.6604795,0.7537148,0.7349546,0.1583857,0.4464165,0.7465348,0.1284657,0.0628896,0.7597186,0.0863391,0.468861,0.7248858,0.9342765,0.457457,0.5830864,0.6926634,0.3976149
bclim11,0.8560745,0.6604795,1,0.3603687,0.2583466,0.6016727,0.1536589,0.2442319,0.5637345,0.3244222,0.24548,0.1541398,0.0851455,0.0747268,0.6491406,0.7921986,0.1227607,0.8352048,0.6780984
bclim12,0.6513912,0.7537148,0.3603687,1,0.9626209,0.1853645,0.5177308,0.9408495,0.1961326,0.1017611,0.9156432,0.3093905,0.3528606,0.7130003,0.7930499,0.010275,0.7910713,0.3685465,0.2547757
bclim13,0.5890234,0.7349546,0.2583466,0.9626209,1,0.013453,0.7019629,0.987741,0.0064065,0.1134367,0.9767368,0.2458057,0.4651494,0.8155873,0.7702894,0.0382836,0.813339,0.3127261,0.0846065
bclim14,0.3688925,0.1583857,0.6016727,0.1853645,0.013453,1,0.6325345,0.0726844,0.9238181,0.8310204,0.1154982,0.3609738,0.4948966,0.3725084,0.2529448,0.3493276,0.0026471,0.3550667,0.7410654
bclim15,0.2142257,0.4464165,0.1536589,0.5177308,0.7019629,0.6325345,1,0.7424985,0.667295,0.7140136,0.7745858,0.0216178,0.6221989,0.8188534,0.4234987,0.2134336,0.5718099,0.0664633,0.4650852
bclim16,0.587251,0.7465348,0.2442319,0.9408495,0.987741,0.0726844,0.7424985,1,0.0623889,0.1993933,0.9919419,0.1832765,0.5263204,0.8452767,0.7553752,0.0163747,0.7779226,0.3172024,0.0283531
bclim17,0.3326084,0.1284657,0.5637345,0.1961326,0.0064065,0.9238181,0.667295,0.0623889,1,0.8773373,0.1067105,0.3109733,0.4451061,0.356764,0.2114534,0.3406767,0.0057375,0.3172239,0.7481783
bclim18,0.1206207,0.0628896,0.3244222,0.1017611,0.1134367,0.8310204,0.7140136,0.1993933,0.8773373,1,0.2535984,0.41365,0.5706687,0.4431179,0.0566645,0.0581237,0.0336946,0.0996345,0.6858719
bclim19,0.5942115,0.7597186,0.24548,0.9156432,0.9767368,0.1154982,0.7745858,0.9919419,0.1067105,0.2535984,1,0.1444664,0.5606306,0.8676215,0.7578862,0.0061957,0.7652273,0.3598479,0.0084395
bclim2,0.1285826,0.0863391,0.1541398,0.3093905,0.2458057,0.3609738,0.0216178,0.1832765,0.3109733,0.41365,0.1444664,1,0.6111448,0.0123782,0.3713937,0.3485758,0.6028322,0.0428654,0.2662653
bclim3,0.2513065,0.468861,0.0851455,0.3528606,0.4651494,0.4948966,0.6221989,0.5263204,0.4451061,0.5706687,0.5606306,0.6111448,1,0.7472589,0.2524838,0.1363226,0.1805444,0.1220861,0.2661551
bclim4,0.493639,0.7248858,0.0747268,0.7130003,0.8155873,0.3725084,0.8188534,0.8452767,0.356764,0.4431179,0.8676215,0.0123782,0.7472589,1,0.6667599,0.0445243,0.73539,0.257704,0.1139156
bclim5,0.8907009,0.9342765,0.6491406,0.7930499,0.7702894,0.2529448,0.4234987,0.7553752,0.2114534,0.0566645,0.7578862,0.3713937,0.2524838,0.6667599,1,0.3117539,0.7418211,0.6383881,0.4547735
bclim6,0.621243,0.457457,0.7921986,0.010275,0.0382836,0.3493276,0.2134336,0.0163747,0.3406767,0.0581237,0.0061957,0.3485758,0.1363226,0.0445243,0.3117539,1,0.305306,0.6788923,0.4647022
bclim7,0.4374903,0.5830864,0.1227607,0.7910713,0.813339,0.0026471,0.5718099,0.7779226,0.0057375,0.0336946,0.7652273,0.6028322,0.1805444,0.73539,0.7418211,0.305306,1,0.1924424,0.1443011
bclim8,0.8100096,0.6926634,0.8352048,0.3685465,0.3127261,0.3550667,0.0664633,0.3172024,0.3172239,0.0996345,0.3598479,0.0428654,0.1220861,0.257704,0.6383881,0.6788923,0.1924424,1,0.5060938
bclim9,0.5645915,0.3976149,0.6780984,0.2547757,0.0846065,0.7410654,0.4650852,0.0283531,0.7481783,0.6858719,0.0084395,0.2662653,0.2661551,0.1139156,0.4547735,0.4647022,0.1443011,0.5060938,1