,lon,lat
Xantusia vigilis,-114.700305,35.170497
Xantusia vigilis,-117.805902,34.748388
Xantusia vigilis,-115.615593,35.46464676
Xantusia vigilis,-118.456012,35.5806589
Xantusia vigilis,-115.79009,35.40166
Xantusia vigilis,-115.1008442,36.1000786
Xantusia vigilis,-115.472861,36.129192
Xantusia vigilis,-117.3339345,34.58034412
Xantusia vigilis,-116.29992,33.13477
Xantusia vigilis,-116.455,32.99
Xantusia vigilis,-120.845378,36.730939
Xantusia vigilis,-118.433132,34.870721
Xantusia vigilis,-115.5086957,34.98135989
Xantusia vigilis,-114.786582,35.173804
Xantusia vigilis,-115.59353,35.47259
Xantusia vigilis,-118.718198,34.665618
Xantusia vigilis,-117.777226,34.78888
Xantusia vigilis,-117.824821,34.690159
Xantusia vigilis,-118.7117123,34.59073116
Xantusia vigilis,-114.007486,37.109834
Xantusia vigilis,-117.0022304,34.44942196
Xantusia vigilis,-116.838024,34.906778
Xantusia vigilis,-117.181205,34.420874
Xantusia vigilis,-114.054736,37.087445
Xantusia vigilis,-117.3320075,34.49057857
Xantusia vigilis,-117.8877904,35.35976364
Xantusia vigilis,-115.200223,36.159739
Xantusia vigilis,-116.8818125,34.43456519
Xantusia vigilis,-118.526567,34.7742
Xantusia vigilis,-118.558719,34.783806
Xantusia vigilis,-118.1855006,34.62248903
Xantusia vigilis,-115.84325,35.77083
Xantusia vigilis,-118.50546,34.68459
Xantusia vigilis,-117.3339385,34.58034412
Xantusia vigilis,-118.5833,35.5667
Xantusia vigilis,-117.878949,34.490085
Xantusia vigilis,-117.52,34.34
Xantusia vigilis,-115.270464,36.020234
Xantusia vigilis,-115.0824516,35.598567
Xantusia vigilis,-117.2928027,34.49927061
Xantusia vigilis,-115.432665,35.990121
Xantusia vigilis,-114.145369,37.179121
Xantusia vigilis,-118.091179,34.52443
Xantusia vigilis,-116.47445,33.05491
Xantusia vigilis,-118.1725221,35.08255483
Xantusia vigilis,-118.7313397,35.42549788
Xantusia vigilis,-118.17396,35.12463
Xantusia vigilis,-113.556533,36.947783
Xantusia vigilis,-114.0333,33.4167
Xantusia vigilis,-118.435392,35.72002452
Xantusia vigilis,-115.160333,36.520444
Xantusia vigilis,-115.197611,35.708214
Xantusia vigilis,-117.61975,34.761737
Xantusia vigilis,-114.891621,36.381087
Xantusia vigilis,-114.1667,33.0333
Xantusia vigilis,-118.5605,35.5781
Xantusia vigilis,-114.989696,36.446223
Xantusia vigilis,-118.2020296,35.5349769
Xantusia vigilis,-118.7978779,35.49305366
Xantusia vigilis,-118.0071734,35.66201508
Xantusia vigilis,-118.2402,35.4656
Xantusia vigilis,-115.4505958,36.11993174
Xantusia vigilis,-116.184953,36.002056
Xantusia vigilis,-115.0399,34.9124
Xantusia vigilis,-117.3046237,34.57305852
Xantusia vigilis,-117.9957893,36.67463955
Xantusia vigilis,-117.835747,34.458125
Xantusia vigilis,-118.0170767,34.32813027
Xantusia vigilis,-117.0027608,34.98032974
Xantusia vigilis,-118.450837,34.77617
Xantusia vigilis,-117.95074,35.19853
Xantusia vigilis,-115.147472,36.423694
Xantusia vigilis,-114.25,35.5833
Xantusia vigilis,-114.79573,37.616825
Xantusia vigilis,-115.141194,36.447667
Xantusia vigilis,-110.6167,37.8833
Xantusia vigilis,-120.7823,36.658
Xantusia vigilis,-115.516567,35.252167
Xantusia vigilis,-118.066417,34.481525
Xantusia vigilis,-117.632543,34.399812
Xantusia vigilis,-117.290278,34.536111
Xantusia vigilis,-118.1704,35.7208
Xantusia vigilis,-120.7640653,36.65832703
Xantusia vigilis,-117.2991495,34.56580676
Xantusia vigilis,-115.056047,35.511377
Xantusia vigilis,-117.9481201,34.52112046
Xantusia vigilis,-113.8167,35.05
Xantusia vigilis,-114.035536,33.41581231
Xantusia vigilis,-115.30975,36.499111
Xantusia vigilis,-113.4833,34.4833
Xantusia vigilis,-114.010618,37.183321
Xantusia vigilis,-117.4084163,34.39145075
Xantusia vigilis,-118.8021315,35.62764519
Xantusia vigilis,-117.901113,34.456125
Xantusia vigilis,-113.88584,37.066
Xantusia vigilis,-117.785228,34.604091
Xantusia vigilis,-118.40753,34.74978702
Xantusia vigilis,-117.0663443,36.21644714
Xantusia vigilis,-118.406682,35.755767
Xantusia vigilis,-118.1596359,34.99792215
Xantusia vigilis,-117.9581,35.6253
Xantusia vigilis,-118.2630304,35.10549158
Xantusia vigilis,-117.584117,36.558756
Xantusia vigilis,-118.5951241,35.5725801
Xantusia vigilis,-118.314002,35.04560779
Xantusia vigilis,-116.56488,33.07753
Xantusia vigilis,-118.8303324,36.71754636
Xantusia vigilis,-117.4033965,34.42675882
Xantusia vigilis,-114.353125,36.67226624
Xantusia vigilis,-117.6861306,34.3782312
Xantusia vigilis,-118.3073115,34.44151911
Xantusia vigilis,-115.50253,35.23313
Xantusia vigilis,-115.064464,35.533458
Xantusia vigilis,-115.584165,35.41665
Xantusia vigilis,-116.027962,36.45693
Xantusia vigilis,-121.1540109,36.46002977
Xantusia vigilis,-117.753048,34.555212
Xantusia vigilis,-118.370298,34.53783203
Xantusia vigilis,-115.57891,34.92151
Xantusia vigilis,-115.143489,36.107716
Xantusia vigilis,-118.4876,37.66303
Xantusia vigilis,-115.3414497,35.77883078
Xantusia vigilis,-118.0389928,34.57991622
Xantusia vigilis,-115.224055,36.203092
Xantusia vigilis,-117.30944,34.52908
Xantusia vigilis,-117.8523298,34.42079387
Xantusia vigilis,-115.54913,35.4707
Xantusia vigilis,-117.0885016,34.46745388
Xantusia vigilis,-117.23713,34.418659
Xantusia vigilis,-118.3948582,35.08500718
Xantusia vigilis,-118.2083814,35.12440347
Xantusia vigilis,-117.0888994,36.1699751
Xantusia vigilis,-114.2130279,36.31121556
Xantusia vigilis,-118.0689887,34.31187236
Xantusia vigilis,-114.05315,35.18937
Xantusia vigilis,-114.1,35.85
Xantusia vigilis,-118.0855525,35.02917485
Xantusia vigilis,-117.9290328,34.43818286
Xantusia vigilis,-118.199865,36.055236
Xantusia vigilis,-115.112139,36.375667
Xantusia vigilis,-118.505421,34.724389
Xantusia vigilis,-115.6479,34.8199
Xantusia vigilis,-118.102672,34.78845
Xantusia vigilis,-118.858889,35.613889
Xantusia vigilis,-115.7336679,34.97696949
Xantusia vigilis,-118.4496537,35.84154737
Xantusia vigilis,-115.1869,35.6975
Xantusia vigilis,-118.5,35.9167
Xantusia vigilis,-118.5,35.6167
Xantusia vigilis,-113.9,34.6833
Xantusia vigilis,-115.3727455,36.27142865
Xantusia vigilis,-114.177825,37.006667
Xantusia vigilis,-118.484236,34.774379
Xantusia vigilis,-118.8755953,34.80186927
Xantusia vigilis,-117.665935,34.656991
Xantusia vigilis,-115.184242,34.608458
Xantusia vigilis,-113.799335,32.20342876
Xantusia vigilis,-113.9292,36.6247
Xantusia vigilis,-117.569729,34.408638
Xantusia vigilis,-117.9631,35.629233
Xantusia vigilis,-117.9105376,34.56386455
Xantusia vigilis,-117.304847,34.489425
Xantusia vigilis,-114.197275,37.002493
Xantusia vigilis,-118.3092272,37.40471764
Xantusia vigilis,-117.9884482,35.40115186
Xantusia vigilis,-115.370314,36.039917
Xantusia vigilis,-117.9701671,35.33565167
Xantusia vigilis,-113.1233,34.6243
Xantusia vigilis,-118.2131419,35.25570401
Xantusia vigilis,-118.1333,36.0167
Xantusia vigilis,-118.148889,34.645833
Xantusia vigilis,-116.738367,35.513578
Xantusia vigilis,-119.4201844,34.76682828
Xantusia vigilis,-115.076254,36.037645
Xantusia vigilis,-117.84831,34.60031
Xantusia vigilis,-118.2031651,35.11618273
Xantusia vigilis,-117.398027,33.94678
Xantusia vigilis,-117.9059299,34.50363723
Xantusia vigilis,-117.3500981,34.89646954
Xantusia vigilis,-118.8631724,34.83975034
Xantusia vigilis,-121.175,36.466667
Xantusia vigilis,-115.145885,35.77864211
Xantusia vigilis,-114.012816,37.105413
Xantusia vigilis,-117.9,34.45
Xantusia vigilis,-117.19268,34.50228
Xantusia vigilis,-117.1317,34.7326
Xantusia vigilis,-117.697636,35.007144
Xantusia vigilis,-118.099887,35.848417
Xantusia vigilis,-116.7262653,36.22025746
Xantusia vigilis,-116.065,34.958
Xantusia vigilis,-117.984855,34.53130792
Xantusia vigilis,-114.9308926,37.00241485
Xantusia vigilis,-117.0204,34.401
Xantusia vigilis,-115.544839,36.418433
Xantusia vigilis,-118.024894,34.531647
Xantusia vigilis,-117.465991,34.92187805
Xantusia vigilis,-117.995567,35.374871
Xantusia vigilis,-118.615215,34.987625
Xantusia vigilis,-116.04333,37.06889
Xantusia vigilis,-115.6588063,34.78595702
Xantusia vigilis,-115.06681,36.114884
Xantusia vigilis,-113.326806,34.537
Xantusia vigilis,-117.657222,35.368611
Xantusia vigilis,-115.456357,36.159545
Xantusia vigilis,-117.974267,35.364988
Xantusia vigilis,-117.9913639,35.64622559
Xantusia vigilis,-113.6833,34.6833
Xantusia vigilis,-118.4698957,34.77447291
Xantusia vigilis,-116.271537,36.401239
Xantusia vigilis,-117.83568,34.29079
Xantusia vigilis,-115.525873,35.268297
Xantusia vigilis,-117.810513,34.709389
Xantusia vigilis,-118.114189,34.659802
Xantusia vigilis,-118.118133,35.126343
Xantusia vigilis,-119.4202444,34.76680828
Xantusia vigilis,-116.8091766,34.71058523
Xantusia vigilis,-113.872498,37.072701
Xantusia vigilis,-115.118889,36.530889
Xantusia vigilis,-117.4872675,34.42648025
Xantusia vigilis,-115.7545935,35.18235302
Xantusia vigilis,-114.958139,36.206689
Xantusia vigilis,-115.5838462,35.55877561
Xantusia vigilis,-117.0699827,35.01386839
Xantusia vigilis,-116.3136196,36.41901863
Xantusia vigilis,-113.773667,34.451333
Xantusia vigilis,-117.8535321,34.44548618
Xantusia vigilis,-116.0594,35.8841
Xantusia vigilis,-122.15576,37.21318
Xantusia vigilis,-117.8624532,34.63119006
Xantusia vigilis,-118.3658719,35.11454661
Xantusia vigilis,-117.0331707,34.89647174
Xantusia vigilis,-117.03255,34.89652
Xantusia vigilis,-117.5402597,34.42652188
Xantusia vigilis,-114.160091,37.183743
Xantusia vigilis,-116.178437,36.0075
Xantusia vigilis,-117.51779,34.90269
Xantusia vigilis,-117.2536806,34.48255733
Xantusia vigilis,-117.664654,35.789705
Xantusia vigilis,-113.30719,34.48658
Xantusia vigilis,-116.9627368,34.67887803
Xantusia vigilis,-120.5967,36.4855
Xantusia vigilis,-118.4528087,35.83389754
Xantusia vigilis,-118.3194,35.047
Xantusia vigilis,-118.2433214,35.61134766
Xantusia vigilis,-118.1667,35.9333
Xantusia vigilis,-114.683333,35.166667
Xantusia vigilis,-114.745503,35.261211
Xantusia vigilis,-115.371754,36.179483
Xantusia vigilis,-117.5548624,34.46306478
Xantusia vigilis,-117.8297662,34.60553199
Xantusia vigilis,-117.8325593,34.50598968
Xantusia vigilis,-117.3974154,34.42472192
Xantusia vigilis,-119.471594,34.834848
Xantusia vigilis,-118.052865,35.947789
Xantusia vigilis,-115.85587,35.76888
Xantusia vigilis,-117.71915,34.486883
Xantusia vigilis,-118.2372251,35.04084747
Xantusia vigilis,-117.625188,34.756861
Xantusia vigilis,-118.1195363,34.55063945
Xantusia vigilis,-118.3275,34.9564
Xantusia vigilis,-115.377045,34.651285
Xantusia vigilis,-116.9339711,34.37090558
Xantusia vigilis,-115.85477,35.77072
Xantusia vigilis,-117.021872,34.799394
Xantusia vigilis,-115.091947,36.115309
Xantusia vigilis,-117.729931,34.629855
Xantusia vigilis,-113.994129,37.118721
Xantusia vigilis,-115.4802081,36.27142792
Xantusia vigilis,-118.17386,35.09577
Xantusia vigilis,-115.30675,36.589944
Xantusia vigilis,-118.040479,34.580011
Xantusia vigilis,-118.6808985,35.24276698
Xantusia vigilis,-120.8367967,36.55069204
Xantusia vigilis,-118.8533106,34.68741452
Xantusia vigilis,-117.947241,34.723422
Xantusia vigilis,-114.1833,35.4667
Xantusia vigilis,-117.1013736,35.02732782
Xantusia vigilis,-117.4101257,34.52813901
Xantusia vigilis,-115.185593,36.52336
Xantusia vigilis,-117.250333,34.373333
Xantusia vigilis,-117.0306153,34.36607605
Xantusia vigilis,-113.675711,35.366503
Xantusia vigilis,-118.220639,35.397139
Xantusia vigilis,-117.7715,34.446167
Xantusia vigilis,-118.0148375,34.31511065
Xantusia vigilis,-115.1826,34.6154
Xantusia vigilis,-114.0669588,36.74747645
Xantusia vigilis,-117.033172,35.0270283
Xantusia vigilis,-115.242709,36.13985
Xantusia vigilis,-116.3137226,36.41905263
Xantusia vigilis,-116.0651086,34.95814275
Xantusia vigilis,-118.34881,35.01839
Xantusia vigilis,-117.40487,35.99034
Xantusia vigilis,-114.85,36.7833
Xantusia vigilis,-117.40484,35.99031
Xantusia vigilis,-118.01891,34.52089
Xantusia vigilis,-116.4551,32.98995
Xantusia vigilis,-117.949722,35.325
Xantusia vigilis,-118.1366442,34.6953494
Xantusia vigilis,-117.1829497,34.65170524
Xantusia vigilis,-113.3833,33.8167
Xantusia vigilis,-115.6784973,34.74590495
Xantusia vigilis,-118.1215039,34.60525495
Xantusia vigilis,-118.0595825,35.55713036
Xantusia vigilis,-117.08325,34.53391
Xantusia vigilis,-115.456578,36.354777
Xantusia vigilis,-115.40489,35.171164
Xantusia vigilis,-118.216586,34.674208
Xantusia vigilis,-116.0091548,36.64909539
Xantusia vigilis,-117.687365,34.615817
Xantusia vigilis,-115.5486749,35.31522901
Xantusia vigilis,-118.14861,35.10902
Xantusia vigilis,-118.5333,37.3333
Xantusia vigilis,-117.9303,35.734833
Xantusia vigilis,-117.825048,34.690651
Xantusia vigilis,-115.220231,35.892381
Xantusia vigilis,-115.516029,36.27142767
Xantusia vigilis,-118.341735,35.002118
Xantusia vigilis,-117.61622,35.37233
Xantusia vigilis,-118.1439252,34.48563305
Xantusia vigilis,-114.1167,35.1333
Xantusia vigilis,-115.96941,35.7916
Xantusia vigilis,-115.409513,36.304571
Xantusia vigilis,-116.4263748,34.73527019
Xantusia vigilis,-117.46829,34.92186
Xantusia vigilis,-118.28189,35.11603617
Xantusia vigilis,-115.137255,36.107812
Xantusia vigilis,-111.50116,37.261588
Xantusia vigilis,-115.03436,34.84476
Xantusia vigilis,-115.288,36.439861
Xantusia vigilis,-118.406,34.5164
Xantusia vigilis,-117.5500987,34.50660863
Xantusia vigilis,-115.453048,36.07967
Xantusia vigilis,-115.078472,36.696944
Xantusia vigilis,-118.8936635,34.87453919
Xantusia vigilis,-118.19405,37.24328
Xantusia vigilis,-118.1417529,35.04099214
Xantusia vigilis,-115.206309,36.033383
Xantusia vigilis,-118.2448504,35.05130114
Xantusia vigilis,-118.1610071,35.00979383
Xantusia vigilis,-117.78047,34.699364
Xantusia vigilis,-117.635238,34.60484
Xantusia vigilis,-116.301856,36.372653
Xantusia vigilis,-115.208146,36.144533
Xantusia vigilis,-117.985712,35.643878
Xantusia vigilis,-118.44994,34.777028
Xantusia vigilis,-115.167278,36.496861
Xantusia vigilis,-115.737972,36.395802
Xantusia vigilis,-117.42348,33.35435
Xantusia vigilis,-119.4659436,34.88328481
Xantusia vigilis,-118.245838,34.590741
Xantusia vigilis,-118.3522,37.49185
Xantusia vigilis,-113.8095,32.2245
Xantusia vigilis,-114.2055382,33.21111715
Xantusia vigilis,-117.9412,35.6062
Xantusia vigilis,-117.3950709,34.58281463
Xantusia vigilis,-118.4663,35.7031
Xantusia vigilis,-115.405609,36.051031
Xantusia vigilis,-117.23336,34.532333
Xantusia vigilis,-118.0550769,35.691048
Xantusia vigilis,-115.176281,36.151611
Xantusia vigilis,-115.53147,35.47143
Xantusia vigilis,-115.183555,34.611105
Xantusia vigilis,-118.0047414,35.66854493
Xantusia vigilis,-117.1251765,34.47373146